date,country,countryCode,province,city,confirmed,suspected,cured,dead,Days,net_confirmed
1/22/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-50,0
1/23/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-49,0
1/24/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-48,0
1/25/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-47,0
1/26/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-46,0
1/27/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-45,0
1/28/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-43,0
1/29/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-42,0
1/30/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-41,0
1/31/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-40,0
2/1/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-39,0
2/2/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-38,0
2/3/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-37,0
2/4/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-36,0
2/5/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-35,0
2/6/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-34,0
2/7/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-33,0
2/8/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-32,0
2/9/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-31,0
2/10/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-30,0
2/11/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-29,0
2/12/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-28,0
2/13/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-27,0
2/14/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-26,0
2/15/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-25,0
2/16/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-24,0
2/17/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-23,0
2/18/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-22,0
2/19/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-21,0
2/20/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-20,0
2/21/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-19,0
2/22/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-18,0
2/23/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-17,0
2/24/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-16,0
2/25/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-15,0
2/26/2020,Bolivia,BO,,Bolivia,0,11350000,0,0,-14,0
